_season0_reset_done,done_at
admin_ip_whitelist,"id, ip_address, label, added_by, created_at"
admin_notification_recipients,"id, notification_id, user_id, email, username, status, error, attempts, sent_at, whatsapp"
admin_notifications,"id, sent_by, audience, audience_filter, subject, body, recipient_count, sent_count, failed_count, status, created_at, finished_at, channels, media_url, media_type"
admin_user_list,"id, username, email, first_name, last_name, nni, whatsapp, role, is_active, email_verified, created_at, preferred_lang, points, level, total_contributions, total_recordings, total_validations, total_votes, streak_days, validator_trust, onboarding_completed, is_activated, activated_at, activated_by, last_seen_at, activated_by_username, login_count, last_login, eval_exempt, leaderboard_hidden"
ai_news_seen,"link, created_at"
app_notifications,"id, title, body, level, is_active, created_by, created_at, target_user_id"
audit_log,"id, user_id, action, target_type, target_id, details, ip_address, created_at"
bot_signals,"user_id, bot_evals, median_gap, cv, active_hours, pct_oui, burst_max, bot_score"
broadcast_lists,"id, name, recipients, created_by, created_at, updated_at"
collusion_detector,"validator_id, validator_name, contributor_id, contributor_name, times_validated, avg_score_given, collusion_flag"
community_card_likes,"card_id, user_id, created_at"
community_cards,"id, type, question, options, is_official, created_by, created_name, status, quorum, created_at, image_url, banner_url, audio_url, video_url, text_color"
community_comments,"id, card_id, user_id, username, body, is_deleted, created_at, audio_url, image_url"
community_voice_endorsements,"contribution_id, user_id, created_at"
community_voice_likes,"contribution_id, user_id, created_at"
community_votes,"card_id, user_id, choice, created_at"
competition_config,"key, value, updated_at"
competition_fairness,"id, username, nni, whatsapp, identity_verified, first_name, last_name, points, total_contributions, total_validations, validator_trust, approved_count, rejected_count, skips_24h, registered_at"
contribution_tags,"contribution_id, tag_id"
contributions,"id, user_id, phrase_id, hassaniya_text, audio_url, audio_duration_ms, status, validation_count, avg_text_score, avg_audio_score, created_at, updated_at, quality_score, audio_format, audio_size_bytes, audio_sample_rate, audio_validated, text_status, audio_status, audio_sha256, season0, quarantined, quality_points, quality_eval_count, quality_locked, audio_url_backup, reviewed_text, reviewed_audio_url, reviewed_by, reviewed_at"
contributor_credits,"id, owner_id, name, whatsapp, consent, position, created_at, updated_at"
credit_consumption,"plan_id, user_id, consumed_seconds, started_at, last_ping_at, paused, paused_at"
credit_plans,"id, activity, budget_seconds, starts_at, ends_at, target_user_id, enabled, note, created_by, created_at"
credit_usage_hourly,"user_id, bucket, seconds"
credit_windows,"user_id, activity, day, started_at"
dataset_export_tokens,"id, user_id, lang, audio, nonce, used, created_at, expires_at"
dataset_imports,"id, performed_by, mode, file_name, file_size_bytes, rows_total, rows_inserted, rows_skipped, rows_errors, contributions_lost, status, error, started_at, finished_at"
disclaimer_acceptances,"id, user_id, version, accepted_at, ip"
email_verifications,"id, user_id, code_hash, expires_at, used, attempts, created_at"
eval_void_batch,"id, validator_id, admin_id, created_at, reactivated_at, window_from, window_to, n_validations, validator_point_delta, validator_counts, author_deltas, contribution_snapshots, active"
failed_submissions,"id, user_id, phrase_id, hassaniya_text, audio_path, audio_duration_ms, reason, recovered, recovered_by, recovered_at, created_at"
flash_tournament_contributions,"tournament_id, contribution_id, user_id, phrase_id, tagged_at"
flash_tournament_exclusions,"tournament_id, user_id, reason, created_by, created_at"
flash_tournament_snapshots,"tournament_id, user_id, official_points, official_rank, created_at"
flash_tournament_validations,"id, tournament_id, validation_id, user_id, contribution_id, created_at"
flash_tournaments,"id, title, starts_at, ends_at, target_contributions, winner_count, prize_text, ambassador_enabled, ambassador_target_contributions, ambassador_winner_count, ambassador_prize_text, ambassador_dormant_days, ambassador_dormant_max_contributions, status, snapshot_official_score, created_by, created_at, closed_at, ambassador_min_referees, ambassador_count_mode, activity"
leaderboard,"id, username, first_name, last_name, points, level, total_contributions, total_recordings, total_validations, streak_days, validator_trust, badges, approved_count, rejected_count, quality_ratio, last_contribution_at, joined_at, eval_pts, tag_pts, contrib_pts, q_gained, q_lost"
lexicon,"word, freq, source, updated_at"
media_honeypot_results,"id, clip_id, user_id, passed, submitted_text, created_at"
media_honeypots,"clip_id, planted_draft, created_at"
media_ingest_jobs,"id, dataset_id, source, status, message, clips_created, created_by, created_at, updated_at, original_url, original_kind, speaker_name, speaker_sex, video_type, source_path"
media_locks,"clip_id, user_id, status, expires_at, created_at"
media_transcriptions,"id, clip_id, user_id, text, status, created_at, time_ms, edited, prefilled"
otp_codes,"id, phone, purpose, code_hash, expires_at, attempts, consumed, created_at"
password_resets,"id, user_id, code_hash, expires_at, used, attempts, created_at"
phrase_assignments,"id, phrase_id, user_id, assigned_by, status, created_at"
phrase_details,"phrase_id, source_text, source_lang, category, difficulty, times_contributed, hassaniya_reference, contribution_count, approved_count, rejected_count, pending_count, best_score"
phrase_locks,"id, phrase_id, user_id, locked_at, expires_at, status"
phrase_reports,"id, phrase_id, user_id, reason, created_at"
phrase_skips,"id, user_id, phrase_id, created_at"
phrase_translation_map,"phrase_id, source_text, source_lang, hassaniya_reference, category, total_translations, approved_translations, with_audio, translations"
phrases,"id, source_text, source_lang, hassaniya_reference, origin, category, difficulty, is_active, times_contributed, created_at, restricted"
pipeline_stats,"total_phrases, zero_translations, one_translation, two_translations, three_plus, phrases_en, phrases_fr, phrases_ar"
point_multipliers,"id, lang, action, multiplier, starts_at, ends_at, active, label, created_at"
profiles,"user_id, preferred_lang, points, level, streak_days, last_active_date, total_contributions, total_recordings, total_validations, total_votes, badges, created_at, updated_at, validator_trust, onboarding_completed, last_seen_at, is_activated, activated_at, activated_by, device_fingerprint, signup_ip, signup_geo, signup_ua, fraud_score, fraud_flags, session_id, app_notifications_read_at, community_read_at, quality_points, disqualified, points_before_dq, quality_before_dq, trust_before_dq, eval_exclude, ambassador_points, account_tag, credit_blocked, eval_exempt, leaderboard_hidden, community_blocked, starter_quota_required, starter_quota_started_at, starter_quota_blocked_at, hp_seen, hp_failed"
public_stats,"total_users, total_contributions, total_approved, total_validations, phrases_covered, total_phrases"
quality_leaderboard,"id, username, quality_points, scored_translations"
reciprocity_pairs,"user_a, name_a, user_b, name_b, a_validates_b, b_validates_a, total"
referrals,"referee_id, referrer_id, collected_points, created_at"
refresh_tokens,"id, user_id, token_hash, expires_at, created_at, revoked, revoked_at"
reviews,"id, contribution_id, reviewer_id, original_text, corrected_text, action, created_at"
schedule_slots,"id, slot_date, start_min, end_min, activity, languages, enabled, note, created_by, created_at, auto_switch_notified_at"
schema_migrations,"version, name, applied_at"
season0_contributors,"id, username, contributions, created_at"
signup_forensics,"id, username, email, nni, whatsapp, role, created_at, device_fingerprint, signup_ip, signup_geo, signup_ua, fraud_score, fraud_flags, same_fp_count, same_ip_count"
tags,"id, name, name_ar, category, color, created_at"
translation_comparison,"contribution_id, phrase_id, source_text, source_lang, hassaniya_text, quality_score, avg_text_score, validation_count, status, translator, translator_level, translator_trust, created_at, rank"
user_daily_skips,"user_id, skip_count"
user_events,"id, user_id, type, at, detail"
users,"id, email, password_hash, username, first_name, last_name, phone, birthdate, role, is_active, created_at, updated_at, nni, whatsapp, identity_verified, email_verified, whatsapp_verified"
validations,"id, contribution_id, validator_id, text_accuracy, audio_clarity, is_valid, notes, created_at, agreement_score, season0"
validations_archive,"id, contribution_id, validator_id, text_accuracy, audio_clarity, is_valid, notes, created_at, agreement_score, season0, batch_id, archived_at"
video_clips,"id, dataset_id, media_url, kind, duration_ms, start_ms, end_ms, source, is_active, times_transcribed, created_at, ingest_job_id, reviewed_text, reviewed_by, reviewed_at, translation, translated_by, translated_at, ai_draft, ai_draft_at, ai_translation, ai_translation_at"
video_datasets,"id, name, active, created_by, created_at"
votable_phrases,"phrase_id, source_text, source_lang, category, approved_count"
votes,"id, voter_id, phrase_id, chosen_contribution_id, created_at"
whisper_dataset,"contribution_id, phrase_id, source_text, source_lang, category, difficulty, hassaniya_reference, hassaniya_text, audio_url, audio_format, audio_duration_ms, audio_size_bytes, text_quality, audio_quality, avg_text_score, validation_count, text_status, audio_status, overall_status, translator_id, translator, translator_first_name, translator_last_name, translated_at"
whisper_review_set,"contribution_id, phrase_id, source_text, source_lang, category, difficulty, hassaniya_reference, hassaniya_text, audio_url, audio_format, audio_duration_ms, audio_size_bytes, text_quality, audio_quality, avg_text_score, validation_count, text_status, audio_status, overall_status, translator_id, translator, translator_first_name, translator_last_name, translated_at"
whisper_training_set,"contribution_id, phrase_id, source_text, source_lang, category, difficulty, hassaniya_reference, hassaniya_text, audio_url, audio_format, audio_duration_ms, audio_size_bytes, text_quality, audio_quality, avg_text_score, validation_count, text_status, audio_status, overall_status, translator_id, translator, translator_first_name, translator_last_name, translated_at"
